Date,Open,High,Low,Close,Adj Close,Volume,Type of industry
05-08-2011,232.5,237.899994,228.550003,236.524994,221.419632,6312188,
08-08-2011,231.5,240,229.024994,231.050003,216.294327,8616746,
09-08-2011,225,236.774994,224.925003,232.225006,217.394302,8981848,
10-08-2011,247.399994,247.399994,236.699997,239.949997,224.625946,6534452,
11-08-2011,239.350006,242.350006,237.5,239.975006,224.649353,4204608,
12-08-2011,242.550003,243,232.050003,234.024994,219.07933,5706776,
16-08-2011,239.199997,239.199997,227.324997,228.225006,213.64975,6111296,
17-08-2011,228.024994,236.225006,227.949997,233.75,218.821884,6268402,
18-08-2011,234.149994,237.425003,229.274994,231.199997,216.434753,11444226,
19-08-2011,227.5,231.75,225,230.425003,215.709229,8960518,
22-08-2011,230.024994,231.975006,225.350006,226.524994,212.058319,5954498,
23-08-2011,228.699997,231.25,222.649994,229.699997,215.030533,8072546,
24-08-2011,229,231.199997,226.25,228,213.439117,6371228,
25-08-2011,229.699997,229.699997,220.350006,221.824997,207.658463,11600420,
26-08-2011,222,225.274994,218.074997,219.475006,205.458572,4261912,
29-08-2011,222.25,228.975006,221.574997,228.225006,213.64975,5800198,
30-08-2011,230.975006,237.5,229.399994,235.975006,220.904816,7794648,
02-09-2011,242,242,234,236.399994,221.302658,7595474,
05-09-2011,234.899994,237,231.324997,235.125,220.109085,5900358,
06-09-2011,234.300003,238.199997,230,236.399994,221.302658,8930396,
07-09-2011,238,244.975006,236.425003,244.050003,228.464111,7373286,
08-09-2011,244.850006,244.850006,239.574997,241.850006,226.404587,4082024,
09-09-2011,241.949997,242.850006,235.350006,236.625,221.513306,5165708,
12-09-2011,233.5,235.600006,231.25,234.675003,219.687836,3492760,
13-09-2011,235.5,237.899994,232,233.850006,218.915527,3587976,
14-09-2011,233.699997,241.550003,230.524994,239.449997,224.157852,3874504,
15-09-2011,242.949997,244.024994,235.800003,242.324997,226.849243,4368380,
16-09-2011,243.125,245,238.149994,241.850006,226.404587,5473504,
19-09-2011,240.949997,243.5,238.550003,242.375,226.896088,4194610,
20-09-2011,242.5,246.625,241.5,245.675003,229.985321,5917634,
21-09-2011,246.375,248.824997,244.199997,247.25,231.459747,6445698,
22-09-2011,243.949997,244.5,232.75,236.149994,221.068604,5095544,
23-09-2011,234.274994,235,226.25,228.199997,213.626343,16455612,
26-09-2011,228,228.824997,219.725006,225.050003,210.677521,13892534,
27-09-2011,229,230.949997,227.050003,228.725006,214.117828,8011418,
28-09-2011,231.199997,232.675003,225.875,229,214.375244,7611876,
29-09-2011,228.774994,237.399994,226.324997,235.300003,220.272919,16266492,
30-09-2011,232.925003,237.399994,232.199997,233.824997,218.892105,9514400,
03-10-2011,230.074997,232.449997,225.375,228.024994,213.462509,9068118,
04-10-2011,226.25,228,220.25,224.449997,210.115814,7481596,
05-10-2011,224.475006,228.125,218.274994,219.350006,205.341537,8267496,
07-10-2011,226.350006,230,223.100006,225,210.630707,9443502,
10-10-2011,226,229,225.024994,227.350006,212.830627,12062992,
11-10-2011,230.350006,232.449997,227.574997,228.75,214.14122,4993758,
12-10-2011,230.975006,234.949997,226.725006,233.574997,218.658081,8967780,
13-10-2011,237.5,238.100006,233.800003,235.324997,220.29631,5866702,
14-10-2011,234.5,238.199997,232.675003,236.949997,221.817505,3335020,
17-10-2011,238.300003,240.25,236.175003,239.024994,223.76001,3543632,
18-10-2011,236.949997,240.699997,236,239.074997,223.806839,4054510,
19-10-2011,241.475006,247.300003,239.649994,245.925003,230.219345,8689042,
20-10-2011,244,246.199997,240.300003,244.774994,229.142807,5676852,
21-10-2011,245.024994,245.899994,241.649994,243.5,227.949219,4580732,
24-10-2011,246.375,248.5,241.475006,242.175003,226.708878,4871546,
25-10-2011,243.925003,245.375,224.274994,234,219.055923,41315010,
28-10-2011,243,247.25,239.875,241.324997,225.913116,9019224,
31-10-2011,241.5,245.875,238.574997,245,229.353424,6425708,
01-11-2011,242.550003,246.5,240,241.149994,225.749298,6649758,
02-11-2011,239.350006,244,238.75,241.550003,226.123764,5055910,
03-11-2011,240.5,242.425003,236.050003,240.925003,225.538666,5252818,
04-11-2011,243.350006,243.949997,240.149994,241.5,226.076965,3401610,
08-11-2011,241.5,243.675003,239.25,242.125,226.662033,4196404,
09-11-2011,242.5,242.850006,237.649994,238.625,223.385574,4302494,
11-11-2011,237.824997,239.199997,231.300003,232.024994,217.207047,4605018,
14-11-2011,234.949997,239.925003,234.475006,235.699997,220.647339,6114282,
15-11-2011,235.350006,238.899994,234.949997,236.125,221.045227,5822146,
16-11-2011,235,236,230.149994,232.850006,217.979385,3558800,
17-11-2011,231.574997,235,228.300003,229.675003,215.007156,5388684,
18-11-2011,227.600006,230.800003,225.050003,229.149994,214.515671,5860372,
